cycle,adults,juveniles,juveniles_density
201,1111,15187,0.00201418
202,1071,14946,0.00198903
203,1057,14705,0.00196602
204,1094,14414,0.00194363
205,1126,14306,0.00193439
206,1128,14161,0.00191616
207,1150,14079,0.00191157
208,1181,13911,0.00189036
209,1213,13951,0.00189023
210,1180,14132,0.00191213
211,1189,14096,0.00190662
212,1171,14228,0.0019219
213,1080,14351,0.00192272
214,1066,14280,0.0019141
215,1054,14265,0.00191992
216,1068,14300,0.0019281
217,1070,14134,0.00191024
218,1063,13865,0.00187524
219,1106,13623,0.00185154
220,1132,13454,0.00183866
