cycle,adults,juveniles,juveniles_density
146,61,1013,0.000516265
147,88,1000,0.0005119
148,116,1065,0.000516912
149,136,1190,0.000528057
150,146,1337,0.000547277
151,185,1483,0.000569701
152,227,1732,0.000605793
153,283,2069,0.000635167
154,341,2505,0.00067488
155,376,3024,0.000731616
156,424,3572,0.00079945
157,478,4150,0.00085101
158,564,4715,0.00091213
159,655,5424,0.000985073
160,764,6249,0.00107506
161,886,7175,0.00117893
162,1046,8237,0.00128908
163,1240,9453,0.00142391
164,1437,10918,0.0015752
165,1597,12543,0.00174458
166,1720,14208,0.00191749
167,1755,15634,0.00206915
168,1780,16767,0.00218777
169,1776,17689,0.00227917
170,1745,18410,0.00235967
171,1777,18956,0.00242399
172,1749,19362,0.0024621
173,1642,19560,0.00246398
174,1637,19537,0.00246369
175,1667,19470,0.00246217
176,1617,19401,0.00245548
177,1632,19243,0.00244757
178,1608,19105,0.00243417
179,1538,18845,0.0024104
180,1505,18674,0.00239049
181,1409,18212,0.00234195
182,1422,17810,0.00231069
183,1350,17423,0.00226475
184,1264,17000,0.00220877
185,1266,16476,0.0021619
186,1271,16075,0.00211452
187,1268,15833,0.00209067
188,1273,15751,0.00208179
189,1233,15520,0.00206585
190,1250,15389,0.00205501
191,1176,15392,0.00204591
192,1159,15367,0.0020413
193,1134,15139,0.00201453
194,1152,15089,0.0020096
195,1156,14958,0.00198947
196,1158,14791,0.00197142
197,1200,14632,0.00195989
198,1210,14551,0.00194855
199,1162,14619,0.00194447
200,1164,14509,0.00193106
201,1220,14336,0.00192193
202,1214,14229,0.00191266
203,1159,14359,0.0019266
204,1125,14291,0.00191442
205,1099,14175,0.00190295
206,1111,14143,0.00190129
207,1112,13966,0.00188935
208,1117,13797,0.00187708
209,1125,13741,0.00186542
210,1140,13832,0.00187696
211,1078,13781,0.00186479
212,1094,13629,0.00184866
213,1165,13594,0.00185187
214,1111,13717,0.00186265
215,1099,13769,0.00186865
216,1101,13581,0.00184853
217,1104,13357,0.00182198
218,1103,13396,0.00182471
219,1070,13378,0.00181561
220,1075,13264,0.00181473
221,1004,13205,0.00179464
222,955,12856,0.00176157
223,1000,12440,0.00172165
224,994,12368,0.00172017
225,1018,12064,0.00169259
226,994,12015,0.00168686
227,919,12135,0.00168904
228,945,11887,0.00166762
229,943,11491,0.00162755
230,977,11544,0.00162802
231,972,11640,0.00164186
232,896,11622,0.00163959
233,881,11612,0.00164222
234,906,11417,0.00161541
235,876,11243,0.00158977
