GO.ID	Term	Annotated	Significant	Expected	Fisher	Genes
GO:0045199	maintenance of epithelial cell apical/basal polarity	2	1	0.04	0.03631	LOC_00010463
GO:0045598	regulation of fat cell differentiation	2	1	0.04	0.03631	LOC_00010727
GO:0070837	dehydroascorbic acid transport	2	1	0.04	0.03631	LOC_00010647
GO:0042026	protein refolding	2	1	0.04	0.03631	LOC_00010579
GO:0007105	cytokinesis, division site positioning	2	1	0.04	0.03631	LOC_00010543
GO:1990544	mitochondrial ATP transmembrane transport	2	1	0.04	0.03631	LOC_00010450
GO:0022900	electron transport chain	47	3	0.86	0.04186	LOC_00010522;LOC_00010524;LOC_00010532
GO:0061351	neural precursor cell proliferation	8	2	0.15	0.05364	LOC_00010656;LOC_00010727
GO:0090102	cochlea development	3	1	0.05	0.05397	LOC_00010727
GO:0007288	sperm axoneme assembly	3	1	0.05	0.05397	LOC_00010727
GO:0007279	pole cell formation	3	1	0.05	0.05397	LOC_00010543
GO:0071398	cellular response to fatty acid	3	1	0.05	0.05397	LOC_00010647
GO:0032467	positive regulation of cytokinesis	3	1	0.05	0.05397	LOC_00010521
GO:0000915	actomyosin contractile ring assembly	3	1	0.05	0.05397	LOC_00010543
GO:0006772	thiamine metabolic process	3	1	0.05	0.05397	LOC_00010659
GO:0051560	mitochondrial calcium ion homeostasis	3	1	0.05	0.05397	LOC_00010733
GO:0070613	regulation of protein processing	3	1	0.05	0.05397	LOC_00010727
GO:0007338	single fertilization	3	1	0.05	0.05397	LOC_00010559
GO:0060259	regulation of feeding behavior	3	1	0.05	0.05397	LOC_00010727
GO:0042351	'de novo' GDP-L-fucose biosynthetic process	3	1	0.05	0.05397	LOC_00010449
GO:0008039	synaptic target recognition	3	1	0.05	0.05397	LOC_00010711
GO:0006567	threonine catabolic process	3	1	0.05	0.05397	LOC_00010541
GO:0006569	tryptophan catabolic process	3	1	0.05	0.05397	LOC_00010469
GO:0045035	sensory organ precursor cell division	3	1	0.05	0.05397	LOC_00010543
GO:0035774	positive regulation of insulin secretion involved in cellular response to glucose stimulus	3	1	0.05	0.05397	LOC_00010647
GO:0044319	wound healing, spreading of cells	3	1	0.05	0.05397	LOC_00010595
GO:0007112	male meiosis cytokinesis	3	1	0.05	0.05397	LOC_00010543
GO:0021537	telencephalon development	10	2	0.18	0.07088	LOC_00010654;LOC_00010727
GO:0030210	heparin biosynthetic process	4	1	0.07	0.07130	LOC_00010731
GO:1901642	nucleoside transmembrane transport	4	1	0.07	0.07130	LOC_00010687
GO:1904262	negative regulation of TORC1 signaling	4	1	0.07	0.07130	LOC_00010701
GO:0007095	mitotic G2 DNA damage checkpoint signaling	4	1	0.07	0.07130	LOC_00010696
GO:0046323	D-glucose import	4	1	0.07	0.07130	LOC_00010647
GO:2000785	regulation of autophagosome assembly	4	1	0.07	0.07130	LOC_00010727
GO:0046085	adenosine metabolic process	4	1	0.07	0.07130	LOC_00010659
GO:0008407	chaeta morphogenesis	4	1	0.07	0.07130	LOC_00010734
GO:0045048	protein insertion into ER membrane	4	1	0.07	0.07130	LOC_00010542
GO:0016925	protein sumoylation	4	1	0.07	0.07130	LOC_00010658
GO:1901568	fatty acid derivative metabolic process	25	2	0.46	0.07602	LOC_00010689;LOC_00010690
GO:0032465	regulation of cytokinesis	8	2	0.15	0.08778	LOC_00010521;LOC_00010543
GO:0055007	cardiac muscle cell differentiation	5	1	0.09	0.08833	LOC_00010727
GO:0007368	determination of left/right symmetry	5	1	0.09	0.08833	LOC_00010727
GO:0060122	inner ear receptor cell stereocilium organization	5	1	0.09	0.08833	LOC_00010727
GO:0006072	glycerol-3-phosphate metabolic process	5	1	0.09	0.08833	LOC_00010631
GO:0019563	glycerol catabolic process	5	1	0.09	0.08833	LOC_00010631
GO:0009117	nucleotide metabolic process	118	3	2.16	0.08837	LOC_00010469;LOC_00010589;LOC_00010659
GO:0010629	negative regulation of gene expression	128	6	2.34	0.09570	LOC_00010586;LOC_00010588;LOC_00010605;LOC_00010624;LOC_00010656;LOC_00010660
GO:0007601	visual perception	29	2	0.53	0.09818	LOC_00010579;LOC_00010608
GO:0055129	L-proline biosynthetic process	6	1	0.11	0.10504	LOC_00010621
GO:0015012	heparan sulfate proteoglycan biosynthetic process	6	1	0.11	0.10504	LOC_00010731
GO:0021987	cerebral cortex development	6	1	0.11	0.10504	LOC_00010654
GO:0016558	protein import into peroxisome matrix	6	1	0.11	0.10504	LOC_00010640
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	6	1	0.11	0.10504	LOC_00010498
GO:0006355	regulation of DNA-templated transcription	516	16	9.45	0.11004	LOC_00010444;LOC_00010453;LOC_00010484;LOC_00010492;LOC_00010508;LOC_00010556;LOC_00010586;LOC_00010588;LOC_00010589;LOC_00010592;LOC_00010605;LOC_00010612;LOC_00010644;LOC_00010656;LOC_00010703;LOC_00010704
GO:0048856	anatomical structure development	546	19	10	0.11028	LOC_00010445;LOC_00010465;LOC_00010494;LOC_00010500;LOC_00010543;LOC_00010559;LOC_00010579;LOC_00010586;LOC_00010588;LOC_00010589;LOC_00010595;LOC_00010654;LOC_00010656;LOC_00010706;LOC_00010711;LOC_00010719;LOC_00010722;LOC_00010727;LOC_00010734
GO:0007009	plasma membrane organization	14	6	0.26	0.11763	LOC_00010543;LOC_00010562;LOC_00010568;LOC_00010571;LOC_00010572;LOC_00010573
GO:0120009	intermembrane lipid transfer	8	2	0.15	0.12068	LOC_00010555;LOC_00010686
GO:0008643	carbohydrate transport	34	2	0.62	0.12105	LOC_00010646;LOC_00010647
GO:0007266	Rho protein signal transduction	7	1	0.13	0.12145	LOC_00010595
GO:0035006	melanization defense response	7	1	0.13	0.12145	LOC_00010719
GO:0032012	regulation of ARF protein signal transduction	7	1	0.13	0.12145	LOC_00010500
GO:0032008	positive regulation of TOR signaling	7	1	0.13	0.12145	LOC_00010627
GO:0031122	cytoplasmic microtubule organization	7	1	0.13	0.12145	LOC_00010727
GO:0006488	dolichol-linked oligosaccharide biosynthetic process	7	1	0.13	0.12145	LOC_00010697
GO:0035099	hemocyte migration	7	1	0.13	0.12145	LOC_00010719
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	7	1	0.13	0.12145	LOC_00010498
GO:0045892	negative regulation of DNA-templated transcription	57	3	1.04	0.12720	LOC_00010586;LOC_00010588;LOC_00010644
GO:0022412	cellular process involved in reproduction in multicellular organism	50	3	0.92	0.13647	LOC_00010543;LOC_00010719;LOC_00010727
GO:0000281	mitotic cytokinesis	9	2	0.16	0.13669	LOC_00010437;LOC_00010543
GO:0007224	smoothened signaling pathway	8	1	0.15	0.13756	LOC_00010727
GO:0009408	response to heat	8	1	0.15	0.13756	LOC_00010579
GO:0043277	apoptotic cell clearance	8	1	0.15	0.13756	LOC_00010559
GO:1905515	non-motile cilium assembly	8	1	0.15	0.13756	LOC_00010727
GO:0016180	snRNA processing	8	1	0.15	0.13756	LOC_00010569
GO:0007264	small GTPase-mediated signal transduction	65	4	1.19	0.15072	LOC_00010485;LOC_00010500;LOC_00010595;LOC_00010719
GO:0007269	neurotransmitter secretion	14	2	0.26	0.15249	LOC_00010463;LOC_00010691
GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	9	1	0.16	0.15337	LOC_00010448
GO:0006123	mitochondrial electron transport, cytochrome c to oxygen	9	1	0.16	0.15337	LOC_00010532
GO:0045732	positive regulation of protein catabolic process	10	1	0.18	0.16890	LOC_00010484
GO:0051693	actin filament capping	10	1	0.18	0.16890	LOC_00010625
GO:0007040	lysosome organization	10	1	0.18	0.16890	LOC_00010659
GO:0008544	epidermis development	10	1	0.18	0.16890	LOC_00010727
GO:0031334	positive regulation of protein-containing complex assembly	11	1	0.2	0.18414	LOC_00010484
GO:0006518	peptide metabolic process	11	1	0.2	0.18414	LOC_00010544
GO:0006144	purine nucleobase metabolic process	11	1	0.2	0.18414	LOC_00010659
GO:0065008	regulation of biological quality	199	15	3.65	0.18966	LOC_00010562;LOC_00010568;LOC_00010571;LOC_00010572;LOC_00010573;LOC_00010576;LOC_00010579;LOC_00010586;LOC_00010588;LOC_00010605;LOC_00010625;LOC_00010647;LOC_00010662;LOC_00010663;LOC_00010706
GO:0043434	response to peptide hormone	12	1	0.22	0.19911	LOC_00010647
GO:0006744	ubiquinone biosynthetic process	12	1	0.22	0.19911	LOC_00010455
GO:0000724	double-strand break repair via homologous recombination	12	1	0.22	0.19911	LOC_00010658
GO:0001732	formation of cytoplasmic translation initiation complex	14	1	0.26	0.22823	LOC_00010461
GO:0009584	detection of visible light	14	1	0.26	0.22823	LOC_00010608
GO:0007420	brain development	26	3	0.48	0.23979	LOC_00010500;LOC_00010654;LOC_00010727
GO:0001889	liver development	15	1	0.27	0.24240	LOC_00010727
GO:0001822	kidney development	15	1	0.27	0.24240	LOC_00010727
GO:0035725	sodium ion transmembrane transport	52	2	0.95	0.24657	LOC_00010516;LOC_00010520
GO:0060429	epithelium development	67	4	1.23	0.25315	LOC_00010595;LOC_00010706;LOC_00010719;LOC_00010727
GO:0006302	double-strand break repair	28	2	0.51	0.25512	LOC_00010429;LOC_00010658
GO:0017148	negative regulation of translation	17	1	0.31	0.26995	LOC_00010605
GO:0007602	phototransduction	17	1	0.31	0.26995	LOC_00010608
GO:0009952	anterior/posterior pattern specification	17	1	0.31	0.26995	LOC_00010727
GO:0071407	cellular response to organic cyclic compound	17	1	0.31	0.26995	LOC_00010647
GO:0001525	angiogenesis	18	1	0.33	0.28336	LOC_00010559
GO:0006814	sodium ion transport	72	3	1.32	0.30758	LOC_00010516;LOC_00010520;LOC_00010691
GO:0006357	regulation of transcription by RNA polymerase II	282	7	5.17	0.31940	LOC_00010453;LOC_00010508;LOC_00010556;LOC_00010589;LOC_00010592;LOC_00010644;LOC_00010656
GO:0003006	developmental process involved in reproduction	77	3	1.41	0.32034	LOC_00010543;LOC_00010719;LOC_00010727
GO:0016441	post-transcriptional gene silencing	21	1	0.38	0.32212	LOC_00010624
GO:0006506	GPI anchor biosynthetic process	22	1	0.4	0.33457	LOC_00010705
GO:0090304	nucleic acid metabolic process	2183	38	39.99	0.34263	LOC_00010429;LOC_00010444;LOC_00010453;LOC_00010473;LOC_00010484;LOC_00010492;LOC_00010495;LOC_00010498;LOC_00010508;LOC_00010515;LOC_00010517;LOC_00010545;LOC_00010556;LOC_00010560;LOC_00010569;LOC_00010586;LOC_00010588;LOC_00010589;LOC_00010592;LOC_00010596;LOC_00010605;LOC_00010612;LOC_00010617;LOC_00010642;LOC_00010644;LOC_00010648;LOC_00010656;LOC_00010658;LOC_00010660;LOC_00010664;LOC_00010695;LOC_00010702;LOC_00010703;LOC_00010704;LOC_00010710;LOC_00010712;LOC_00010713;LOC_00010717
GO:0000122	negative regulation of transcription by RNA polymerase II	23	1	0.42	0.34679	LOC_00010644
GO:0006887	exocytosis	23	1	0.42	0.34679	LOC_00010629
GO:0048477	oogenesis	23	1	0.42	0.34679	LOC_00010543
GO:0042221	response to chemical	249	8	4.56	0.35299	LOC_00010511;LOC_00010512;LOC_00010586;LOC_00010588;LOC_00010627;LOC_00010647;LOC_00010701;LOC_00010707
GO:0001654	eye development	36	4	0.66	0.35332	LOC_00010579;LOC_00010586;LOC_00010588;LOC_00010727
GO:0030155	regulation of cell adhesion	25	1	0.46	0.37057	LOC_00010484
GO:0007399	nervous system development	209	6	3.83	0.37870	LOC_00010494;LOC_00010500;LOC_00010654;LOC_00010656;LOC_00010711;LOC_00010727
GO:0051321	meiotic cell cycle	41	2	0.75	0.38066	LOC_00010429;LOC_00010543
GO:0006402	mRNA catabolic process	57	2	1.04	0.38126	LOC_00010605;LOC_00010660
GO:0007219	Notch signaling pathway	26	1	0.48	0.38214	LOC_00010727
GO:0007165	signal transduction	881	21	16.14	0.39870	LOC_00010460;LOC_00010468;LOC_00010484;LOC_00010485;LOC_00010486;LOC_00010500;LOC_00010511;LOC_00010512;LOC_00010589;LOC_00010594;LOC_00010595;LOC_00010608;LOC_00010626;LOC_00010627;LOC_00010639;LOC_00010644;LOC_00010659;LOC_00010696;LOC_00010701;LOC_00010719;LOC_00010727
GO:0015031	protein transport	287	5	5.26	0.42623	LOC_00010445;LOC_00010629;LOC_00010640;LOC_00010647;LOC_00010699
GO:0043488	regulation of mRNA stability	31	1	0.57	0.43689	LOC_00010605
GO:0045893	positive regulation of DNA-templated transcription	89	2	1.63	0.44735	LOC_00010508;LOC_00010656
GO:0002009	morphogenesis of an epithelium	36	2	0.66	0.45525	LOC_00010595;LOC_00010706
GO:0050808	synapse organization	34	1	0.62	0.46739	LOC_00010711
GO:0048511	rhythmic process	36	1	0.66	0.48681	LOC_00010692
GO:0000723	telomere maintenance	37	1	0.68	0.49625	LOC_00010517
GO:0031123	RNA 3'-end processing	38	1	0.7	0.50552	LOC_00010569
GO:0010628	positive regulation of gene expression	39	1	0.71	0.51463	LOC_00010656
GO:0006457	protein folding	97	3	1.78	0.51907	LOC_00010487;LOC_00010514;LOC_00010579
GO:0006278	RNA-templated DNA biosynthetic process	155	3	2.84	0.54367	LOC_00010473;LOC_00010545;LOC_00010648
GO:0006508	proteolysis	864	16	15.83	0.55937	LOC_00010448;LOC_00010501;LOC_00010509;LOC_00010510;LOC_00010513;LOC_00010518;LOC_00010539;LOC_00010591;LOC_00010601;LOC_00010696;LOC_00010702;LOC_00010715;LOC_00010716;LOC_00010723;LOC_00010727;LOC_00010730
GO:0006325	chromatin organization	194	2	3.55	0.56211	LOC_00010452;LOC_00010656
GO:0050911	detection of chemical stimulus involved in sensory perception of smell	103	2	1.89	0.56650	LOC_00010511;LOC_00010512
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	55	2	1.01	0.57175	LOC_00010448;LOC_00010696
GO:0055085	transmembrane transport	663	16	12.15	0.57674	LOC_00010450;LOC_00010459;LOC_00010486;LOC_00010504;LOC_00010505;LOC_00010516;LOC_00010520;LOC_00010565;LOC_00010567;LOC_00010640;LOC_00010646;LOC_00010647;LOC_00010687;LOC_00010691;LOC_00010707;LOC_00010733
GO:0048468	cell development	196	6	3.59	0.58353	LOC_00010543;LOC_00010656;LOC_00010706;LOC_00010711;LOC_00010719;LOC_00010727
GO:0050909	sensory perception of taste	48	1	0.88	0.58941	LOC_00010468
GO:0016311	dephosphorylation	49	1	0.9	0.59697	LOC_00010659
GO:0006414	translational elongation	49	1	0.9	0.59697	LOC_00010657
GO:0007005	mitochondrion organization	53	1	0.97	0.62588	LOC_00010508
GO:0009653	anatomical structure morphogenesis	244	9	4.47	0.62766	LOC_00010445;LOC_00010543;LOC_00010559;LOC_00010586;LOC_00010588;LOC_00010595;LOC_00010706;LOC_00010727;LOC_00010734
GO:0032508	DNA duplex unwinding	55	1	1.01	0.63955	LOC_00010517
GO:0045944	positive regulation of transcription by RNA polymerase II	57	1	1.04	0.65273	LOC_00010508
GO:0015074	DNA integration	484	8	8.87	0.66938	LOC_00010473;LOC_00010495;LOC_00010515;LOC_00010545;LOC_00010702;LOC_00010712;LOC_00010713;LOC_00010717
GO:0007018	microtubule-based movement	106	2	1.94	0.70021	LOC_00010483;LOC_00010727
GO:0009058	biosynthetic process	2747	53	50.33	0.70160	LOC_00010444;LOC_00010449;LOC_00010453;LOC_00010455;LOC_00010461;LOC_00010469;LOC_00010473;LOC_00010484;LOC_00010487;LOC_00010492;LOC_00010495;LOC_00010498;LOC_00010508;LOC_00010514;LOC_00010515;LOC_00010541;LOC_00010545;LOC_00010556;LOC_00010560;LOC_00010569;LOC_00010576;LOC_00010578;LOC_00010579;LOC_00010586;LOC_00010588;LOC_00010589;LOC_00010592;LOC_00010596;LOC_00010605;LOC_00010612;LOC_00010621;LOC_00010624;LOC_00010642;LOC_00010644;LOC_00010648;LOC_00010656;LOC_00010657;LOC_00010660;LOC_00010664;LOC_00010671;LOC_00010672;LOC_00010673;LOC_00010685;LOC_00010697;LOC_00010702;LOC_00010703;LOC_00010704;LOC_00010705;LOC_00010712;LOC_00010713;LOC_00010717;LOC_00010727;LOC_00010731
GO:0006310	DNA recombination	78	2	1.43	0.70441	LOC_00010517;LOC_00010658
GO:0009887	animal organ morphogenesis	89	3	1.63	0.74290	LOC_00010706;LOC_00010727;LOC_00010734
GO:0035556	intracellular signal transduction	242	11	4.43	0.76095	LOC_00010460;LOC_00010485;LOC_00010486;LOC_00010500;LOC_00010595;LOC_00010626;LOC_00010627;LOC_00010644;LOC_00010696;LOC_00010701;LOC_00010719
GO:0016043	cellular component organization	1005	27	18.41	0.76985	LOC_00010437;LOC_00010452;LOC_00010461;LOC_00010484;LOC_00010508;LOC_00010517;LOC_00010542;LOC_00010543;LOC_00010555;LOC_00010560;LOC_00010562;LOC_00010568;LOC_00010571;LOC_00010572;LOC_00010573;LOC_00010586;LOC_00010588;LOC_00010595;LOC_00010625;LOC_00010640;LOC_00010656;LOC_00010659;LOC_00010686;LOC_00010706;LOC_00010711;LOC_00010727;LOC_00010734
GO:0007155	cell adhesion	114	2	2.09	0.80769	LOC_00010484;LOC_00010559
GO:0071897	DNA biosynthetic process	658	10	12.05	0.82265	LOC_00010473;LOC_00010495;LOC_00010515;LOC_00010545;LOC_00010648;LOC_00010664;LOC_00010702;LOC_00010712;LOC_00010713;LOC_00010717
GO:0000398	mRNA splicing, via spliceosome	94	1	1.72	0.82593	LOC_00010642
GO:0006629	lipid metabolic process	361	8	6.61	0.84558	LOC_00010576;LOC_00010659;LOC_00010671;LOC_00010672;LOC_00010673;LOC_00010689;LOC_00010690;LOC_00010705
GO:0016310	phosphorylation	391	5	7.16	0.85048	LOC_00010561;LOC_00010596;LOC_00010631;LOC_00010698;LOC_00010706
GO:0006396	RNA processing	383	4	7.02	0.85173	LOC_00010498;LOC_00010569;LOC_00010596;LOC_00010642
GO:0005975	carbohydrate metabolic process	216	3	3.96	0.86634	LOC_00010525;LOC_00010553;LOC_00010631
GO:0006412	translation	364	5	6.67	0.88759	LOC_00010461;LOC_00010578;LOC_00010605;LOC_00010657;LOC_00010685
GO:0016567	protein ubiquitination	128	1	2.34	0.90799	LOC_00010696
GO:0006281	DNA repair	178	3	3.26	0.93741	LOC_00010429;LOC_00010517;LOC_00010658
GO:0016192	vesicle-mediated transport	239	3	4.38	0.94415	LOC_00010559;LOC_00010623;LOC_00010629
GO:0032259	methylation	167	1	3.06	0.95587	LOC_00010717
GO:0007186	G protein-coupled receptor signaling pathway	178	2	3.26	0.95751	LOC_00010608;LOC_00010659
GO:0031344	regulation of cell projection organization	29	1	0.53	1.00000	LOC_00010727
GO:0009799	specification of symmetry	5	1	0.09	1.00000	LOC_00010727
GO:0170040	proteinogenic amino acid catabolic process	19	2	0.35	1.00000	LOC_00010541;LOC_00010630
GO:0001944	vasculature development	20	2	0.37	1.00000	LOC_00010559;LOC_00010727
GO:0007292	female gamete generation	25	1	0.46	1.00000	LOC_00010543
GO:0031346	positive regulation of cell projection organization	16	1	0.29	1.00000	LOC_00010727
GO:0042430	indole-containing compound metabolic process	7	1	0.13	1.00000	LOC_00010469
GO:0035082	axoneme assembly	17	1	0.31	1.00000	LOC_00010727
GO:0044458	motile cilium assembly	3	1	0.05	1.00000	LOC_00010727
GO:0006260	DNA replication	90	1	1.65	1.00000	LOC_00010484
GO:0043010	camera-type eye development	12	3	0.22	1.00000	LOC_00010579;LOC_00010586;LOC_00010588
GO:0044085	cellular component biogenesis	474	12	8.68	1.00000	LOC_00010461;LOC_00010484;LOC_00010498;LOC_00010543;LOC_00010560;LOC_00010586;LOC_00010588;LOC_00010595;LOC_00010625;LOC_00010656;LOC_00010727;LOC_00010734
GO:0044087	regulation of cellular component biogenesis	69	6	1.26	1.00000	LOC_00010484;LOC_00010586;LOC_00010588;LOC_00010625;LOC_00010656;LOC_00010727
GO:0032774	RNA biosynthetic process	987	21	18.08	1.00000	LOC_00010444;LOC_00010453;LOC_00010484;LOC_00010492;LOC_00010498;LOC_00010508;LOC_00010556;LOC_00010560;LOC_00010569;LOC_00010586;LOC_00010588;LOC_00010589;LOC_00010592;LOC_00010596;LOC_00010605;LOC_00010612;LOC_00010642;LOC_00010644;LOC_00010656;LOC_00010703;LOC_00010704
GO:0044088	regulation of vacuole organization	4	1	0.07	1.00000	LOC_00010727
GO:0035088	establishment or maintenance of apical/basal cell polarity	5	1	0.09	1.00000	LOC_00010463
GO:0044089	positive regulation of cellular component biogenesis	27	3	0.49	1.00000	LOC_00010484;LOC_00010656;LOC_00010727
GO:0042436	indole-containing compound catabolic process	3	1	0.05	1.00000	LOC_00010469
GO:0051301	cell division	106	3	1.94	1.00000	LOC_00010437;LOC_00010521;LOC_00010543
GO:0019219	regulation of nucleobase-containing compound metabolic process	565	16	10.35	1.00000	LOC_00010444;LOC_00010453;LOC_00010484;LOC_00010492;LOC_00010508;LOC_00010556;LOC_00010586;LOC_00010588;LOC_00010589;LOC_00010592;LOC_00010605;LOC_00010612;LOC_00010644;LOC_00010656;LOC_00010703;LOC_00010704
GO:0051302	regulation of cell division	9	2	0.16	1.00000	LOC_00010521;LOC_00010543
