LOC_00000343-mRNA-1	sp|Q8N539|FBCD1_HUMAN	*-*	Fibrinogen C domain-containing protein 1		GO:0005515, GO:0005615, GO:0008061, GO:0016020, GO:0046872, GO:0062023
LOC_00000538-mRNA-1	tr|A0A1S4EZK9|A0A1S4EZK9_AEDAE	***	AAEL001728-PA		GO:0016020
LOC_00000352-mRNA-1	tr|A0A4Y0BHD2|A0A4Y0BHD2_ANOFN	***	Cadherin		GO:0001736, GO:0005509, GO:0005886, GO:0007155, GO:0007156, GO:0007163, GO:0016020, GO:0016043, GO:0030154, GO:0048513, GO:0098609
LOC_00000385-mRNA-1	sp|P41034|TTPA_RAT	**-	Alpha-tocopherol transfer protein		GO:0001890, GO:0001892, GO:0005546, GO:0005737, GO:0005770, GO:0007584, GO:0008289, GO:0008431, GO:0009268, GO:0009636, GO:0019842, GO:0042360, GO:0043325, GO:0051180, GO:0051452, GO:0090212, GO:0120009, GO:0120013, GO:1900223, GO:1902936, GO:1904036
LOC_00000306-mRNA-1	tr|B0X960|B0X960_CULQU	***	CHK kinase-like domain-containing protein		
LOC_00000241-mRNA-1	tr|A0A4Y0BKE8|A0A4Y0BKE8_ANOFN	*-*	RRM domain-containing protein		GO:0003676, GO:0003723
LOC_00000362-mRNA-1	tr|B0WGC9|B0WGC9_CULQU	***	LIM zinc-binding domain-containing protein		GO:0046872
LOC_00000496-mRNA-1	tr|T1D237|T1D237_9DIPT	***	RNA-directed DNA polymerase		GO:0003676, GO:0003964, GO:0004518, GO:0004519, GO:0006278, GO:0015074, GO:0016740, GO:0016779, GO:0016787, GO:0042575, GO:0071897
LOC_00000375-mRNA-1	tr|A0A8D8H3K6|A0A8D8H3K6_CULPI	***	Protein takeout		
LOC_00000483-mRNA-1	tr|B0W4Z2|B0W4Z2_CULQU	***	Zinc finger protein 58		GO:0046872
LOC_00000483-mRNA-2	tr|B0W4Z2|B0W4Z2_CULQU	***	Zinc finger protein 58		GO:0046872
LOC_00000319-mRNA-4	tr|A0A8W7MTK5|A0A8W7MTK5_ANOAR	***	CRAL-TRIO domain-containing protein		
LOC_00000319-mRNA-5	tr|A0A8W7MTK5|A0A8W7MTK5_ANOAR	***	CRAL-TRIO domain-containing protein		
LOC_00000319-mRNA-2	tr|A0A8W7MTK5|A0A8W7MTK5_ANOAR	***	CRAL-TRIO domain-containing protein		
LOC_00000319-mRNA-3	tr|A0A8W7MTK5|A0A8W7MTK5_ANOAR	***	CRAL-TRIO domain-containing protein		
LOC_00000319-mRNA-1	tr|A0A8W7MTK5|A0A8W7MTK5_ANOAR	***	CRAL-TRIO domain-containing protein		
LOC_00000305-mRNA-1	tr|A0A182W7V0|A0A182W7V0_9DIPT	*-*	CHK kinase-like domain-containing protein		GO:0005634, GO:0005730, GO:0006364, GO:0042254
LOC_00000511-mRNA-2	tr|A0A182G6C3|A0A182G6C3_AEDAL	***	Cytochrome P450		GO:0004497, GO:0005506, GO:0005789, GO:0016020, GO:0016491, GO:0016705, GO:0020037, GO:0043231, GO:0046872
LOC_00000511-mRNA-1	tr|A0A182G6C3|A0A182G6C3_AEDAL	***	Cytochrome P450		GO:0004497, GO:0005506, GO:0005789, GO:0016020, GO:0016491, GO:0016705, GO:0020037, GO:0043231, GO:0046872
LOC_00000398-mRNA-1	tr|A0A8D8B018|A0A8D8B018_CULPI	***	Serpin B10		GO:0004867, GO:0005615, GO:0030414
LOC_00000398-mRNA-2	tr|A0A8D8B018|A0A8D8B018_CULPI	***	Serpin B10		GO:0004867, GO:0005615, GO:0030414
LOC_00000398-mRNA-3	tr|A0A8D8FCD3|A0A8D8FCD3_CULPI	***	Serpin B10		GO:0004867, GO:0005615, GO:0030414
LOC_00000398-mRNA-4	tr|A0A8D8B1W2|A0A8D8B1W2_CULPI	***	Serpin B10		GO:0004867, GO:0005615, GO:0030414
LOC_00000249-mRNA-3	tr|A0A8D8JJL6|A0A8D8JJL6_CULPI	***	Very-long-chain 3-oxoacyl-CoA reductase		GO:0016020, GO:0016491
LOC_00000249-mRNA-2	sp|O57314|DHB12_ANAPL	*-*	Very-long-chain 3-oxoacyl-CoA reductase		GO:0004303, GO:0005783, GO:0005789, GO:0006629, GO:0006633, GO:0006694, GO:0006703, GO:0016020, GO:0016491, GO:0141040
LOC_00000249-mRNA-1	sp|Q28IU1|DHB12_XENTR	***	Very-long-chain 3-oxoacyl-CoA reductase		GO:0004303, GO:0005783, GO:0005789, GO:0006629, GO:0006633, GO:0006694, GO:0006703, GO:0016020, GO:0016491, GO:0141040
LOC_00000297-mRNA-2	tr|A0A6I8T965|A0A6I8T965_AEDAE	***	Dystroglycan-type cadherin-like domain-containing protein		GO:0005509, GO:0005737, GO:0005886, GO:0016012, GO:0016020
LOC_00000297-mRNA-1	tr|A0A6I8TE69|A0A6I8TE69_AEDAE	***	Dystroglycan-type cadherin-like domain-containing protein		GO:0005509, GO:0005737, GO:0005886, GO:0016012, GO:0016020
LOC_00000270-mRNA-13	tr|A0A1Q3FIY7|A0A1Q3FIY7_CULTA	***	Protein phosphatase 1 regulatory subunit 14b		GO:0004864, GO:0005737, GO:0042325
LOC_00000270-mRNA-14	tr|A0A1Q3FIY7|A0A1Q3FIY7_CULTA	***	Protein phosphatase 1 regulatory subunit 14b		GO:0004864, GO:0005737, GO:0042325
LOC_00000270-mRNA-10	tr|A0A1Q3FIY7|A0A1Q3FIY7_CULTA	***	Protein phosphatase 1 regulatory subunit 14b		GO:0004864, GO:0005737, GO:0042325
LOC_00000270-mRNA-11	tr|A0A1Q3FIY7|A0A1Q3FIY7_CULTA	***	Protein phosphatase 1 regulatory subunit 14b		GO:0004864, GO:0005737, GO:0042325
LOC_00000270-mRNA-12	tr|A0A1Q3FIY7|A0A1Q3FIY7_CULTA	***	Protein phosphatase 1 regulatory subunit 14b		GO:0004864, GO:0005737, GO:0042325
LOC_00000460-mRNA-1	tr|B0W516|B0W516_CULQU	***	UbiA prenyltransferase domain-containing protein 1		GO:0004659, GO:0009234, GO:0016020, GO:0016740, GO:0016765, GO:1901663
LOC_00000454-mRNA-3	tr|A0A8D8BUC4|A0A8D8BUC4_CULPI	***	Malectin		GO:0005783, GO:0005789, GO:0005975, GO:0016020, GO:0030246
LOC_00000454-mRNA-2	tr|A0A8D8BUC4|A0A8D8BUC4_CULPI	***	Malectin		GO:0005783, GO:0005789, GO:0005975, GO:0016020, GO:0030246
LOC_00000454-mRNA-1	tr|A0A8D8BUC4|A0A8D8BUC4_CULPI	***	Malectin		GO:0005783, GO:0005789, GO:0005975, GO:0016020, GO:0030246
LOC_00000399-mRNA-2	tr|A0A8D8JT91|A0A8D8JT91_CULPI	***	Serpin B10		GO:0004867, GO:0005615, GO:0030414
LOC_00000399-mRNA-1	tr|A0A8D8JT91|A0A8D8JT91_CULPI	***	Serpin B10		GO:0004867, GO:0005615, GO:0030414
LOC_00000333-mRNA-2	tr|B0WGM0|B0WGM0_CULQU	***	Vacuolar protein sorting-associated protein 52 homolog		GO:0005794, GO:0015031
LOC_00000333-mRNA-1	tr|B0WGM0|B0WGM0_CULQU	***	Vacuolar protein sorting-associated protein 52 homolog		GO:0005794, GO:0015031
LOC_00000528-mRNA-1	tr|B0WQK9|B0WQK9_CULQU	*-*	Carbamoyl-phosphate synthetase large subunit-like ATP-binding domain-containing protein		GO:0005524
LOC_00000506-mRNA-1	tr|B0XCB3|B0XCB3_CULQU	***	Odorant receptor		GO:0004984, GO:0005549, GO:0005886, GO:0007165, GO:0007608, GO:0016020, GO:0050896, GO:0050911
LOC_00000407-mRNA-1	tr|B0X5Z4|B0X5Z4_CULQU	***	Zinc finger protein		GO:0005634, GO:0008270, GO:0046872
LOC_00000269-mRNA-2	tr|A0A8D8B4X5|A0A8D8B4X5_CULPI	*-*	Jerky protein homolog-like		GO:0003676
LOC_00000269-mRNA-1	tr|A0A8D8B4X5|A0A8D8B4X5_CULPI	***	Jerky protein homolog-like		GO:0003676
LOC_00000426-mRNA-1	tr|A0A8D8FPR9|A0A8D8FPR9_CULPI	***	Zinc finger protein 39		GO:0005634, GO:0008270, GO:0046872
LOC_00000237-mRNA-12	tr|A0A8D8I2D0|A0A8D8I2D0_CULPI	***	ATP-binding cassette sub-family G member 4		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000237-mRNA-13	tr|A0A8D8I2D0|A0A8D8I2D0_CULPI	*-*	ATP-binding cassette sub-family G member 4		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000237-mRNA-10	tr|A0A8D8I2D0|A0A8D8I2D0_CULPI	***	ATP-binding cassette sub-family G member 4		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000237-mRNA-11	tr|A0A8D8I2D0|A0A8D8I2D0_CULPI	***	ATP-binding cassette sub-family G member 4		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000176-mRNA-1	tr|B0WAX0|B0WAX0_CULQU	***	Odorant receptor		GO:0004984, GO:0005549, GO:0005886, GO:0007165, GO:0007608, GO:0016020, GO:0050896, GO:0050911
LOC_00000273-mRNA-1	tr|A0A6J1WFH6|A0A6J1WFH6_GALME	***	Protein dpy-30 homolog		GO:0048188
LOC_00000180-mRNA-1	tr|B0X370|B0X370_CULQU	***	ATP-dependent DNA helicase		GO:0000166, GO:0000723, GO:0003678, GO:0004386, GO:0005524, GO:0006281, GO:0006310, GO:0006974, GO:0016787, GO:0032508
LOC_00000204-mRNA-1	tr|A0A182XUH4|A0A182XUH4_ANOQN	***	AB hydrolase-1 domain-containing protein		GO:0016020
LOC_00000474-mRNA-1	tr|A0A182H846|A0A182H846_AEDAL	***	Cyclic nucleotide-binding domain-containing protein		GO:0005216, GO:0005261, GO:0006811, GO:0016020, GO:0034220, GO:0055085, GO:0098655
LOC_00000353-mRNA-1	tr|A0A8R2LXI2|A0A8R2LXI2_BOMMO	***	Reverse transcriptase domain-containing protein		GO:0071897
LOC_00000325-mRNA-1	tr|A0A8D8CL40|A0A8D8CL40_CULPI	***	Protein pelota homolog		GO:0005737, GO:0046872, GO:0070481, GO:0070966, GO:0071025
LOC_00000510-mRNA-1	tr|B0XCA9|B0XCA9_CULQU	***	Cytochrome P450		GO:0004497, GO:0005506, GO:0005789, GO:0016020, GO:0016491, GO:0016705, GO:0020037, GO:0046872, GO:0050896
LOC_00000324-mRNA-1	tr|B0WGK9|B0WGK9_CULQU	***	C2H2-type domain-containing protein		GO:0005634, GO:0008270, GO:0046872
LOC_00000384-mRNA-1	tr|Q7PFL2|Q7PFL2_ANOGA	***	AGAP009380-PA		GO:1902936
LOC_00000530-mRNA-2	tr|A0A8D8MWQ5|A0A8D8MWQ5_CULPI	***	Trehalose 6-phosphate phosphatase		GO:0004805, GO:0005992, GO:0016787
LOC_00000530-mRNA-1	tr|A0A8D8MWQ5|A0A8D8MWQ5_CULPI	***	Trehalose 6-phosphate phosphatase		GO:0004805, GO:0005992, GO:0016787
LOC_00000436-mRNA-1	tr|A0A182PAR1|A0A182PAR1_9DIPT	***	Transaldolase		GO:0006357, GO:0016589
LOC_00000436-mRNA-2	tr|A0A182PAR1|A0A182PAR1_9DIPT	***	Transaldolase		GO:0006357, GO:0016589
LOC_00000379-mRNA-1	tr|A0A6E8W8I8|A0A6E8W8I8_ANOCL	***	Hemolymph juvenile hormone binding protein		
LOC_00000167-mRNA-2	tr|A0A182YFW7|A0A182YFW7_ANOST	***	Phospholipid/glycerol acyltransferase domain-containing protein		GO:0016746
LOC_00000167-mRNA-1	tr|A0A182YFW7|A0A182YFW7_ANOST	***	Phospholipid/glycerol acyltransferase domain-containing protein		GO:0016746
LOC_00000278-mRNA-1	tr|A0A8D8HJL2|A0A8D8HJL2_CULPI	***	Protein asteroid		GO:0004518
LOC_00000268-mRNA-2	tr|B0WBN2|B0WBN2_CULQU	***	MANSC domain-containing protein		GO:0016020
LOC_00000268-mRNA-1	tr|B0WBN2|B0WBN2_CULQU	***	MANSC domain-containing protein		GO:0016020
LOC_00000268-mRNA-4	tr|B0WBN2|B0WBN2_CULQU	***	MANSC domain-containing protein		GO:0016020
LOC_00000268-mRNA-3	tr|B0WBN2|B0WBN2_CULQU	***	MANSC domain-containing protein		GO:0016020
LOC_00000157-mRNA-1	tr|A0A8D8I3V5|A0A8D8I3V5_CULPI	***	Nuclear hormone receptor FTZ-F1 beta		GO:0003677, GO:0003700, GO:0004879, GO:0005634, GO:0006355, GO:0008270, GO:0030522, GO:0043565, GO:0046872
LOC_00000157-mRNA-8	tr|A0A8D8I3A8|A0A8D8I3A8_CULPI	***	Nuclear hormone receptor FTZ-F1 beta		GO:0003677, GO:0003700, GO:0004879, GO:0005634, GO:0006355, GO:0008270, GO:0030522, GO:0043565, GO:0046872
LOC_00000157-mRNA-9	tr|A0A8D8I3V5|A0A8D8I3V5_CULPI	***	Nuclear hormone receptor FTZ-F1 beta		GO:0003677, GO:0003700, GO:0004879, GO:0005634, GO:0006355, GO:0008270, GO:0030522, GO:0043565, GO:0046872
LOC_00000157-mRNA-6	tr|A0A8D8I3V5|A0A8D8I3V5_CULPI	***	Nuclear hormone receptor FTZ-F1 beta		GO:0003677, GO:0003700, GO:0004879, GO:0005634, GO:0006355, GO:0008270, GO:0030522, GO:0043565, GO:0046872
LOC_00000157-mRNA-7	tr|A0A8D8I3V5|A0A8D8I3V5_CULPI	***	Nuclear hormone receptor FTZ-F1 beta		GO:0003677, GO:0003700, GO:0004879, GO:0005634, GO:0006355, GO:0008270, GO:0030522, GO:0043565, GO:0046872
LOC_00000157-mRNA-4	tr|A0A8D8I3A8|A0A8D8I3A8_CULPI	***	Nuclear hormone receptor FTZ-F1 beta		GO:0003677, GO:0003700, GO:0004879, GO:0005634, GO:0006355, GO:0008270, GO:0030522, GO:0043565, GO:0046872
LOC_00000157-mRNA-5	tr|A0A8D8I3A8|A0A8D8I3A8_CULPI	***	Nuclear hormone receptor FTZ-F1 beta		GO:0003677, GO:0003700, GO:0004879, GO:0005634, GO:0006355, GO:0008270, GO:0030522, GO:0043565, GO:0046872
LOC_00000157-mRNA-2	tr|A0A8D8I3A8|A0A8D8I3A8_CULPI	***	Nuclear hormone receptor FTZ-F1 beta		GO:0003677, GO:0003700, GO:0004879, GO:0005634, GO:0006355, GO:0008270, GO:0030522, GO:0043565, GO:0046872
LOC_00000157-mRNA-3	tr|A0A8D8I3A8|A0A8D8I3A8_CULPI	***	Nuclear hormone receptor FTZ-F1 beta		GO:0003677, GO:0003700, GO:0004879, GO:0005634, GO:0006355, GO:0008270, GO:0030522, GO:0043565, GO:0046872
LOC_00000389-mRNA-1	tr|A0A8D8FLC8|A0A8D8FLC8_CULPI	***	Cytochrome P450 9e2		GO:0004497, GO:0005506, GO:0005789, GO:0016020, GO:0016491, GO:0016705, GO:0020037, GO:0046872
LOC_00000435-mRNA-3	tr|A0A182RRP4|A0A182RRP4_ANOFN	***	ATP-binding cassette transporter (ABC transporter) family C member		GO:0000166, GO:0005524, GO:0005774, GO:0016020, GO:0016887, GO:0022857, GO:0055085, GO:0140359
LOC_00000435-mRNA-2	tr|A0A182RRP4|A0A182RRP4_ANOFN	***	ATP-binding cassette transporter (ABC transporter) family C member		GO:0000166, GO:0005524, GO:0005774, GO:0016020, GO:0016887, GO:0022857, GO:0055085, GO:0140359
LOC_00000435-mRNA-1	tr|A0A182RRP4|A0A182RRP4_ANOFN	***	ATP-binding cassette transporter (ABC transporter) family C member		GO:0000166, GO:0005524, GO:0005774, GO:0016020, GO:0016887, GO:0022857, GO:0055085, GO:0140359
LOC_00000314-mRNA-1	tr|A0A8D8C118|A0A8D8C118_CULPI	***	(northern house mosquito) hypothetical protein		GO:0005634, GO:0008270, GO:0046872
LOC_00000314-mRNA-2	tr|A0A8D8C118|A0A8D8C118_CULPI	***	(northern house mosquito) hypothetical protein		GO:0005634, GO:0008270, GO:0046872
LOC_00000537-mRNA-1	tr|A0A1S4FDH5|A0A1S4FDH5_AEDAE	***	C2H2-type domain-containing protein		GO:0046872
LOC_00000181-mRNA-1	tr|A0A6I8U7N6|A0A6I8U7N6_AEDAE	*-*	THAP-type domain-containing protein		GO:0003677, GO:0046872
LOC_00000288-mRNA-1	tr|B0WBL4|B0WBL4_CULQU	***	Salivary C-type lectin		GO:0030246
LOC_00000203-mRNA-1	tr|A0A6E8VZP3|A0A6E8VZP3_ANOCL	***	AB hydrolase-1 domain-containing protein		GO:0016020
LOC_00000445-mRNA-1	tr|A0A0Q9WVM4|A0A0Q9WVM4_DROWI	***	Reverse transcriptase domain-containing protein		GO:0071897
